1hr,2hr,4hr,8hr
835.7176471,1352.826263,1192.097561,1563.783537
563.7601518,347.6040404,919.652439,1244.603659
561.1005693,1667.39798,2486.378049,246.5030488
665.7472486,764.4181818,1883.121951,2999.237805
598.1373814,833.040404,1232.121951,1754.460366
180.3673624,1641.650505,1952.887195,876.0152439
627.7464896,951.3393939,1087.564024,212.1463415
527.6326376,1205.171717,2015.655488,1906.246951
922.8068311,51.78181818,1035.033537,1951.591463
564.629981,547.3292929,2567.02439,661.9512195
723.4914611,1498.511111,859.9420732,2573.170732
341.0823529,141.6020202,1396.152439,1213.213415
593.6531309,301.9191919,459.6585366,3885.219512
448.0698292,588.1010101,848.1463415,2854.14939
816.8622391,1051.379798,2012.070122,1333.054878
660.3931689,259.6181818,170.8841463,272.8628049
1401.36926,1145.80404,1365.545732,1183.402439
489.8034156,381.9111111,2261.996951,4437.198171
340.7377609,1550.260606,133.1737805,3797.881098
79.53396584,1134.410101,674.945122,4352.945122
932.4508539,920.8161616,1997.14939,1291.557927
1018.286148,254.8989899,219.5121951,381.9054878
543.4808349,338.7191919,694.902439,2610.64939
475.2880455,1044.569697,773.722561,550.7804878
882.3924099,726.7373737,2098.530488,113.1341463
461.888425,1648.129293,515.8963415,1321.67378
1464.088046,483.8929293,1295.356707,2537.268293
378.2011385,534.240404,483.4115854,664.4420732
1151.634156,664.4343434,2492.280488,899.7378049
1029.311575,864.020202,2286.771341,1935.521341
338.1965844,293.3212121,1420.914634,590.5487805
105.9248577,799.5656566,844.4847561,2251.207317
1140.754459,1656.571717,531.3323171,1205.20122
655.0785579,1629.747475,110.5152439,1013.585366
276.5388994,517.1515152,365.5091463,1212.07622
591.5005693,675.1111111,2115.896341,94.2347561
932.2762808,103.030303,421.7926829,3658.92378
490.2542694,1487.711111,220.2743902,1202.006098
308.2747628,819.6808081,109.7560976,236.8780488
606.4182163,606.3070707,28.92378049,1650.030488
748.1927894,545.7191919,629.8262195,2215.64939
782.3954459,1968.713131,1378.14939,221.4085366
203.9195446,852.8505051,2161.682927,169.3445122
639.2516129,1259.230303,1689.402439,2468.719512
883.3760911,188.1717172,830.5335366,18.29268293
255.7859583,1455.60202,246.8567073,3190.539634
1059.505123,1030.886869,1003.740854,822.4969512
454.0159393,942.0727273,504.6859756,1923.378049
786.6717268,223.2,1117.073171,517.2591463
451.6751423,788.5010101,2214.993902,1176.57622
893.0929791,1334.646465,579.0365854,3550.20122
543.0618596,882.189899,2089.094512,2785.722561
610.8371917,1269.606061,1126.682927,3126.106707
